tnSj,Difficulty Level,multi_select,"{'options': [{'id': 'e84a3694-11fd-4fc0-b4d3-0a98865d7456', 'name': 'Easy', 'color': 'yellow'}, {'id': '_f?O', 'name': 'Medium', 'color': 'orange'}, {'id': '5874149b-4c3d-40e9-b713-1e1b45a1c855', 'name': 'Hard', 'color': 'pink'}]}",NULL-PLACEHOLDER,NULL-PLACEHOLDER
vIgE,Cuisine,multi_select,"{'options': [{'id': '4b26ac21-2442-4bf9-a709-33c6fe76d536', 'name': 'Cajun', 'color': 'gray'}, {'id': 'bc13884b-b1f9-4344-a061-c795161a0cdc', 'name': 'Mexican', 'color': 'blue'}, {'id': 'aece1008-7d7c-416b-bf53-a4d03fe2c230', 'name': 'American', 'color': 'pink'}, {'id': 'efbd41f7-ca9d-4366-9db9-fc57f7746ef3', 'name': 'Asian', 'color': 'brown'}, {'id': '7c2b1e69-3b2e-4676-9cea-1858bac5937a', 'name': 'Italian', 'color': 'green'}, {'id': '9cd1c561-aa9d-4c0b-bc01-d683772154ae', 'name': 'Greek', 'color': 'yellow'}]}",NULL-PLACEHOLDER,NULL-PLACEHOLDER
xe1%3F,Link,url,NULL-PLACEHOLDER,NULL-PLACEHOLDER,NULL-PLACEHOLDER
ymgk,Meal Type,multi_select,"{'options': [{'id': 'e3a41d0c-2918-4bda-855f-065369d0b4ef', 'name': 'Dessert', 'color': 'purple'}, {'id': '5ab76036-6042-40e2-ad35-7b24206b311f', 'name': 'Dinner', 'color': 'orange'}, {'id': '1c004ea5-bc2e-463f-b562-9082115f92be', 'name': 'Sauce', 'color': 'blue'}, {'id': '4964cf0c-1bfe-400e-ba0c-1c369b48f8dd', 'name': 'Drink', 'color': 'brown'}, {'id': 'b5d9326a-3e5f-4b56-84a9-931f0cd1842d', 'name': 'Breakfast', 'color': 'default'}]}",NULL-PLACEHOLDER,NULL-PLACEHOLDER
title,Name,title,NULL-PLACEHOLDER,NULL-PLACEHOLDER,NULL-PLACEHOLDER
